lgd_state_code,lgd_district_code,district_name,state_name,census_2011_district_code,notes
36,501,Adilabad,Telangana,532.0,
23,667,Agar-Malwa,Madhya Pradesh,436.0,"boundary_inherited=True; It was created by removing parts of the Shajapur district, including the tehsils of Agar, Badod, Susner, and Nalkheda"
9,118,Agra,Uttar Pradesh,146.0,
24,438,Ahmedabad,Gujarat,474.0,
27,466,Ahmednagar,Maharashtra,522.0,
15,261,Aizawl,Mizoram,283.0,
8,86,Ajmer,Rajasthan,119.0,
27,467,Akola,Maharashtra,501.0,
32,554,Alappuzha,Kerala,598.0,
9,119,Aligarh,Uttar Pradesh,143.0,
19,664,Alipurduar,West Bengal,328.0,"boundary_inherited=True; The Alipurduar district was created in 2014 by splitting the Jalpaiguri district in West Bengal, India"
23,639,Alirajpur,Madhya Pradesh,465.0,
28,745,Alluri Sitharama Raju,Andhra Pradesh,544.0,"boundary_inherited=True; formed on April 4, 2022,from erstwhile Vishakapatnam"
5,45,Almora,Uttarakhand,64.0,
8,87,Alwar,Rajasthan,104.0,
6,58,Ambala,Haryana,70.0,
9,121,Ambedkar Nagar,Uttar Pradesh,178.0,
9,640,Amethi,Uttar Pradesh,,"parent_census_2011_code=multiple; boundary_inherited=True; the Amethi district in Uttar Pradesh was formed by merging parts of two other districts, Sultanpur and Rae Bareli"
27,468,Amravati,Maharashtra,503.0,
24,439,Amreli,Gujarat,480.0,
3,27,Amritsar,Punjab,49.0,
9,154,Amroha,Uttar Pradesh,137.0,Name changed from Jyothi Bhai Phule Nagar to Amroha
28,744,Anakapalli,Andhra Pradesh,544.0,"boundary_inherited=True; formed on April 4, 2022, from erstwhile Vishakapatnam"
24,440,Anand,Gujarat,482.0,
28,502,Ananthapuramu,Andhra Pradesh,553.0,
1,1,Anantnag,Jammu And Kashmir,14.0,
12,628,Anjaw,Arunachal Pradesh,260.0,
28,753,Annamayya,Andhra Pradesh,,"parent_census_2011_code=multiple; boundary_inherited=True; formed on April 4, 2022 ,combining parts of the erstwhile Chittoor and YSR districts"
21,344,Anugul,Odisha,384.0,
8,776,Anupgarh,Rajasthan,99.0,boundary_inherited=True (new LGD district); Anupgarh district is a new north-west district of Rajasthan state in India. It was established on 7 August 2023 after curving it out of Sri Ganganagar District.
23,390,Anuppur,Madhya Pradesh,461.0,
10,188,Araria,Bihar,209.0,
33,610,Ariyalur,Tamil Nadu,616.0,
24,672,Arvalli,Gujarat,472.0,"boundary_inherited=True; The Arvalli district in Gujarat, India was formed on August 15, 2013, after being carved out of the Sabarkantha district"
10,611,Arwal,Bihar,240.0,
23,391,Ashoknagar,Madhya Pradesh,459.0,
9,122,Auraiya,Uttar Pradesh,162.0,
10,189,Aurangabad,Bihar,235.0,
9,140,Ayodhya,Uttar Pradesh,177.0,Name changed from faizabad to Ayodhya
9,123,Azamgarh,Uttar Pradesh,191.0,
29,524,Bagalkote,Karnataka,556.0,
5,46,Bageshwar,Uttarakhand,63.0,
9,124,Baghpat,Uttar Pradesh,139.0,
9,125,Bahraich,Uttar Pradesh,180.0,
18,739,Bajali,Assam,303.0,"boundary_inherited=True; Bajali was a newly created district in the Indian state of Assam, but was remerged with the Barpeta district in December 2022"
18,616,Baksa,Assam,324.0,"boundary_inherited=True; Created from parts of Nalbari, Barpeta, Kamrup, and a small portion of Darrang districts in June 2004"
23,392,Balaghat,Madhya Pradesh,457.0,
21,345,Balangir,Odisha,393.0,
21,346,Baleshwar,Odisha,377.0,Name changed from Balasore to Baleshwar
29,528,Ballari,Karnataka,565.0,
9,126,Ballia,Uttar Pradesh,193.0,
22,646,Balod,Chhattisgarh,409.0,"boundary_inherited=True; Balod became a district in Chhattisgarh, India on January 1, 2012, after being carved out of the Durg district"
22,644,Balodabazar-Bhatapara,Chhattisgarh,410.0,"boundary_inherited=True; The Balodabazar-Bhatapara district was established on January 1, 2012, when it was split from the Raipur district"
8,775,Balotra,Rajasthan,115.0,"boundary_inherited=True (new LGD district); The Balotra district was formed on August 7, 2023, when it separated from the Barmer district in the state of Rajasthan, India."
9,127,Balrampur,Uttar Pradesh,182.0,
22,649,Balrampur-Ramanujganj,Chhattisgarh,401.0,"boundary_inherited=True; It was carved out of the erstwhile Surguja district and came into existence on 17th January, 2012."
24,441,Banas Kantha,Gujarat,469.0,
9,128,Banda,Uttar Pradesh,170.0,
1,623,Bandipora,Jammu And Kashmir,9.0,
10,190,Banka,Bihar,225.0,
19,305,Bankura,West Bengal,339.0,
8,88,Banswara,Rajasthan,125.0,
28,750,Bapatla,Andhra Pradesh,548.0,"boundary_inherited=True; formed on April 4, 2022, as a result of the division of the Guntur district into three districts:"
9,129,Bara Banki,Uttar Pradesh,176.0,
1,3,Baramulla,Jammu And Kashmir,8.0,
8,89,Baran,Rajasthan,128.0,
9,130,Bareilly,Uttar Pradesh,150.0,
21,347,Bargarh,Odisha,370.0,
8,90,Barmer,Rajasthan,115.0,
3,605,Barnala,Punjab,54.0,
18,280,Barpeta,Assam,303.0,
23,393,Barwani,Madhya Pradesh,441.0,
22,374,Bastar,Chhattisgarh,414.0,
9,131,Basti,Uttar Pradesh,185.0,
3,28,Bathinda,Punjab,46.0,
8,774,Beawar,Rajasthan,119.0,"boundary_inherited=True (new LGD district); Beawar became a district in Rajasthan in 2023, carved out of Ajmer district"
27,470,Beed,Maharashtra,523.0,
10,191,Begusarai,Bihar,222.0,
29,527,Belagavi,Karnataka,555.0,Name changed from Belgaun to Belagavi
22,650,Bemetara,Chhattisgarh,409.0,"boundary_inherited=True; It was created after the Durg district was divided, and is located on the northern side of Durg"
29,526,Bengaluru Rural,Karnataka,583.0,
